,cross_val,is_stand,fold,k,weight,metric,acc,f1
1007,KFold,False,10,30,mma,manhattan,0.9666666666666667,0.9652568781980546
1008,StratifiedKFold,False,2,1,uniform,euclidean,0.9271464646464647,0.9282455863808323
1009,StratifiedKFold,False,2,1,uniform,manhattan,0.9606060606060607,0.9612461281314669
1010,StratifiedKFold,False,2,1,distance,euclidean,0.9496212121212122,0.9501993160870048
1011,StratifiedKFold,False,2,1,distance,manhattan,0.9777777777777779,0.9788582099506469
1012,StratifiedKFold,False,2,1,mma,euclidean,0.9493686868686869,0.9505653068696054
1013,StratifiedKFold,False,2,1,mma,manhattan,0.9551767676767677,0.9556924063157602
1014,StratifiedKFold,False,2,2,uniform,euclidean,0.9323232323232323,0.9361381284118806
1015,StratifiedKFold,False,2,2,uniform,manhattan,0.9440656565656567,0.9471503746976193
1016,StratifiedKFold,False,2,2,distance,euclidean,0.9271464646464647,0.9273094401564248
1017,StratifiedKFold,False,2,2,distance,manhattan,0.9436868686868687,0.9446283253738653
1018,StratifiedKFold,False,2,2,mma,euclidean,0.9550505050505051,0.9559366870291239
1019,StratifiedKFold,False,2,2,mma,manhattan,0.9666666666666667,0.9671080553433493
1020,StratifiedKFold,False,2,3,uniform,euclidean,0.960479797979798,0.9614081298437769
1021,StratifiedKFold,False,2,3,uniform,manhattan,0.9553030303030303,0.956636971429558
1022,StratifiedKFold,False,2,3,distance,euclidean,0.9494949494949495,0.9503103438403518
1023,StratifiedKFold,False,2,3,distance,manhattan,0.9606060606060607,0.9617671290984412
1024,StratifiedKFold,False,2,3,mma,euclidean,0.9435606060606061,0.943875943491054
1025,StratifiedKFold,False,2,3,mma,manhattan,0.9496212121212122,0.9516723994928613
1026,StratifiedKFold,False,2,4,uniform,euclidean,0.9549242424242425,0.9573066900365546
1027,StratifiedKFold,False,2,4,uniform,manhattan,0.9438131313131313,0.9462760385579079
1028,StratifiedKFold,False,2,4,distance,euclidean,0.9550505050505051,0.9558321696224922
1029,StratifiedKFold,False,2,4,distance,manhattan,0.9494949494949495,0.9506550928829244
1030,StratifiedKFold,False,2,4,mma,euclidean,0.9496212121212122,0.9513455488482141
1031,StratifiedKFold,False,2,4,mma,manhattan,0.9718434343434343,0.9734421484851363
1032,StratifiedKFold,False,2,5,uniform,euclidean,0.9547979797979798,0.95567448126539
1033,StratifiedKFold,False,2,5,uniform,manhattan,0.9606060606060607,0.9625010178115275
1034,StratifiedKFold,False,2,5,distance,euclidean,0.9719696969696969,0.9728971997447113
1035,StratifiedKFold,False,2,5,distance,manhattan,0.9606060606060607,0.9616526862349343
1036,StratifiedKFold,False,2,5,mma,euclidean,0.9608585858585859,0.9621057118499574
1037,StratifiedKFold,False,2,5,mma,manhattan,0.9718434343434343,0.9734450863780795
