,cross_val,is_stand,fold,k,weight,metric,acc,f1
142,KFold,True,3,10,mma,euclidean,0.7513020833333334,0.7094213632317422
143,KFold,True,3,10,mma,manhattan,0.7434895833333334,0.6965791658219692
144,KFold,True,3,15,uniform,euclidean,0.75390625,0.7017753013357015
145,KFold,True,3,15,uniform,manhattan,0.7421875,0.695338201803262
146,KFold,True,3,15,distance,euclidean,0.75,0.7033903536922573
147,KFold,True,3,15,distance,manhattan,0.7356770833333334,0.6816997279835154
148,KFold,True,3,15,mma,euclidean,0.74609375,0.7027108474857618
149,KFold,True,3,15,mma,manhattan,0.7278645833333334,0.6779971409129044
150,KFold,True,3,20,uniform,euclidean,0.7447916666666666,0.6886416567761063
151,KFold,True,3,20,uniform,manhattan,0.75,0.6819627915309995
152,KFold,True,3,20,distance,euclidean,0.7421875,0.6903637604138588
153,KFold,True,3,20,distance,manhattan,0.7473958333333334,0.7005439815667235
154,KFold,True,3,20,mma,euclidean,0.7513020833333334,0.7089519541588302
155,KFold,True,3,20,mma,manhattan,0.7473958333333334,0.6971742489888391
156,KFold,True,3,25,uniform,euclidean,0.7434895833333334,0.6856711142815508
157,KFold,True,3,25,uniform,manhattan,0.7447916666666666,0.6860000237506494
158,KFold,True,3,25,distance,euclidean,0.75390625,0.6998922090617071
159,KFold,True,3,25,distance,manhattan,0.7578125,0.6999412168075515
160,KFold,True,3,25,mma,euclidean,0.73828125,0.684542260600397
161,KFold,True,3,25,mma,manhattan,0.75,0.6971297718590337
162,KFold,True,3,30,uniform,euclidean,0.7591145833333334,0.6952898926862863
163,KFold,True,3,30,uniform,manhattan,0.7473958333333334,0.6818279554203117
164,KFold,True,3,30,distance,euclidean,0.7526041666666666,0.6973562190953494
165,KFold,True,3,30,distance,manhattan,0.7395833333333334,0.676750596823367
166,KFold,True,3,30,mma,euclidean,0.7591145833333334,0.7080935952710224
167,KFold,True,3,30,mma,manhattan,0.7395833333333334,0.6773467496534176
168,KFold,True,5,1,uniform,euclidean,0.7082845259315848,0.67086050272867
169,KFold,True,5,1,uniform,manhattan,0.6797300738477209,0.6382764394939769
170,KFold,True,5,1,distance,euclidean,0.7082845259315848,0.6676180085529909
171,KFold,True,5,1,distance,manhattan,0.6822850352262118,0.6437226735375678
172,KFold,True,5,1,mma,euclidean,0.6810627281215517,0.641166949295264
173,KFold,True,5,1,mma,manhattan,0.7095662507427213,0.6732221198673574
174,KFold,True,5,2,uniform,euclidean,0.709651133180545,0.6201655886572257
175,KFold,True,5,2,uniform,manhattan,0.7030897207367796,0.6036112945932728
176,KFold,True,5,2,distance,euclidean,0.6926576691282573,0.6573760934552777
177,KFold,True,5,2,distance,manhattan,0.6900008488243782,0.6554827872446937
178,KFold,True,5,2,mma,euclidean,0.7018419489007724,0.6652325660934814
179,KFold,True,5,2,mma,manhattan,0.690111195993549,0.6553268645818787
180,KFold,True,5,3,uniform,euclidean,0.7383413971649265,0.7010095560603377
181,KFold,True,5,3,uniform,manhattan,0.6913929208046855,0.6450276781995222
182,KFold,True,5,3,distance,euclidean,0.727900857312622,0.692359979782735
183,KFold,True,5,3,distance,manhattan,0.7056446821152703,0.6663619518109992
184,KFold,True,5,3,mma,euclidean,0.7381886087768441,0.7038443215478395
185,KFold,True,5,3,mma,manhattan,0.7122655122655123,0.6697497700175599
186,KFold,True,5,4,uniform,euclidean,0.7330701977760802,0.6658757236149941
187,KFold,True,5,4,uniform,manhattan,0.7161955691367456,0.6463522169551977
