,cross_val,is_stand,fold,k,weight,metric,acc,f1
302,KFold,True,10,9,distance,euclidean,0.8733766233766234,0.8870779107373534
303,KFold,True,10,9,distance,manhattan,0.9028138528138528,0.8513440708197741
304,KFold,True,10,9,mma,euclidean,0.8283549783549784,0.7603237878679056
305,KFold,True,10,9,mma,manhattan,0.9015151515151515,0.8553954692799759
306,KFold,True,10,10,uniform,euclidean,0.8227272727272728,0.7986588152129948
307,KFold,True,10,10,uniform,manhattan,0.8504329004329004,0.8487507942469579
308,KFold,True,10,10,distance,euclidean,0.8504329004329004,0.7926303304538599
309,KFold,True,10,10,distance,manhattan,0.9028138528138528,0.8797435607907744
310,KFold,True,10,10,mma,euclidean,0.8305194805194805,0.757291337475161
311,KFold,True,10,10,mma,manhattan,0.8872294372294373,0.8709462841080488
312,KFold,True,10,15,uniform,euclidean,0.7619047619047619,0.6838753897087791
313,KFold,True,10,15,uniform,manhattan,0.8077922077922078,0.7869730880088937
314,KFold,True,10,15,distance,euclidean,0.8510822510822511,0.8116868216324737
315,KFold,True,10,15,distance,manhattan,0.88008658008658,0.8408001921825451
316,KFold,True,10,15,mma,euclidean,0.8329004329004329,0.7492783817060132
317,KFold,True,10,15,mma,manhattan,0.8264069264069265,0.8013180383403159
318,KFold,True,10,20,uniform,euclidean,0.7803030303030303,0.7592733337354081
319,KFold,True,10,20,uniform,manhattan,0.783982683982684,0.7264037247725328
320,KFold,True,10,20,distance,euclidean,0.8322510822510822,0.8044169451406293
321,KFold,True,10,20,distance,manhattan,0.8454545454545455,0.8378523379069045
322,KFold,True,10,20,mma,euclidean,0.793939393939394,0.7751797408438774
323,KFold,True,10,20,mma,manhattan,0.8469696969696969,0.8240062715062715
324,KFold,True,10,25,uniform,euclidean,0.7612554112554113,0.7793604273039594
325,KFold,True,10,25,uniform,manhattan,0.7614718614718614,0.7549906511903416
326,KFold,True,10,25,distance,euclidean,0.803030303030303,0.786531839206072
327,KFold,True,10,25,distance,manhattan,0.8266233766233766,0.8273878515626141
328,KFold,True,10,25,mma,euclidean,0.7948051948051948,0.7459136680313151
329,KFold,True,10,25,mma,manhattan,0.8080086580086581,0.7344690130704062
330,KFold,True,10,30,uniform,euclidean,0.7374458874458875,0.7963247917659682
331,KFold,True,10,30,uniform,manhattan,0.7670995670995671,0.8020763429896557
332,KFold,True,10,30,distance,euclidean,0.7952380952380952,0.8260457755751873
333,KFold,True,10,30,distance,manhattan,0.8222943722943723,0.8423860058070584
334,KFold,True,10,30,mma,euclidean,0.7807359307359307,0.7978166088160704
335,KFold,True,10,30,mma,manhattan,0.795021645021645,0.7586234957566227
336,StratifiedKFold,True,2,1,uniform,euclidean,0.827653997378768,0.7040905079299968
337,StratifiedKFold,True,2,1,uniform,manhattan,0.9160332022717343,0.8718562550804694
338,StratifiedKFold,True,2,1,distance,euclidean,0.8138925294888597,0.7227787019587986
339,StratifiedKFold,True,2,1,distance,manhattan,0.9059851463521189,0.8574318028304853
340,StratifiedKFold,True,2,1,mma,euclidean,0.8835736129314111,0.8143482370456054
341,StratifiedKFold,True,2,1,mma,manhattan,0.8691131498470948,0.833932855643382
342,StratifiedKFold,True,2,2,uniform,euclidean,0.7902577544779379,0.6152900576418145
343,StratifiedKFold,True,2,2,uniform,manhattan,0.846177370030581,0.7545344584818269
344,StratifiedKFold,True,2,2,distance,euclidean,0.8176059414591526,0.7296326699374255
345,StratifiedKFold,True,2,2,distance,manhattan,0.8966360856269113,0.8712606460338985
346,StratifiedKFold,True,2,2,mma,euclidean,0.8648754914809961,0.7785782282325145
347,StratifiedKFold,True,2,2,mma,manhattan,0.8878112712975098,0.8422902950190425
348,StratifiedKFold,True,2,3,uniform,euclidean,0.845827872433377,0.7294706329004199
349,StratifiedKFold,True,2,3,uniform,manhattan,0.846002621231979,0.755683578529205
350,StratifiedKFold,True,2,3,distance,euclidean,0.8407164700742682,0.7360201927413035
351,StratifiedKFold,True,2,3,distance,manhattan,0.8599388379204893,0.7625064285082818
352,StratifiedKFold,True,2,3,mma,euclidean,0.8742245522062035,0.826295357279665
353,StratifiedKFold,True,2,3,mma,manhattan,0.8507645259938839,0.7841304290797292
354,StratifiedKFold,True,2,4,uniform,euclidean,0.8368283093053734,0.7292976883940739
355,StratifiedKFold,True,2,4,uniform,manhattan,0.8325906509392749,0.7184115182221801
356,StratifiedKFold,True,2,4,distance,euclidean,0.8597640891218873,0.752999435906755
357,StratifiedKFold,True,2,4,distance,manhattan,0.8698121450415028,0.8084105307849601
358,StratifiedKFold,True,2,4,mma,euclidean,0.846352118829183,0.7567152378733808
359,StratifiedKFold,True,2,4,mma,manhattan,0.8782874617737003,0.8040205804835213
360,StratifiedKFold,True,2,5,uniform,euclidean,0.809130624726955,0.6838894338387238
361,StratifiedKFold,True,2,5,uniform,manhattan,0.8611620795107033,0.7760838698338699
362,StratifiedKFold,True,2,5,distance,euclidean,0.8038444735692443,0.6570881835197996
363,StratifiedKFold,True,2,5,distance,manhattan,0.8685889034512888,0.8230991740071906
364,StratifiedKFold,True,2,5,mma,euclidean,0.8137177806902578,0.6694093657305857
365,StratifiedKFold,True,2,5,mma,manhattan,0.8833988641328091,0.8254463863904773
366,StratifiedKFold,True,2,6,uniform,euclidean,0.8177806902577545,0.6633400729330963
367,StratifiedKFold,True,2,6,uniform,manhattan,0.827304499781564,0.6753581284726531
368,StratifiedKFold,True,2,6,distance,euclidean,0.846002621231979,0.7928533928680643
369,StratifiedKFold,True,2,6,distance,manhattan,0.864001747487986,0.7761495818573443
370,StratifiedKFold,True,2,6,mma,euclidean,0.8170816950633464,0.6886829151573736
371,StratifiedKFold,True,2,6,mma,manhattan,0.8745740498034076,0.8328734845703809
372,StratifiedKFold,True,2,7,uniform,euclidean,0.8043687199650502,0.6303754294272885
373,StratifiedKFold,True,2,7,uniform,manhattan,0.8551769331585846,0.7425795027063379
374,StratifiedKFold,True,2,7,distance,euclidean,0.8368283093053734,0.7016177682844349
375,StratifiedKFold,True,2,7,distance,manhattan,0.8318916557448668,0.7501765639437759
376,StratifiedKFold,True,2,7,mma,euclidean,0.7944954128440367,0.5775317480164794
377,StratifiedKFold,True,2,7,mma,manhattan,0.8830493665356051,0.8021166536632536
378,StratifiedKFold,True,2,8,uniform,euclidean,0.7625600698995194,0.6683029784813681
379,StratifiedKFold,True,2,8,uniform,manhattan,0.8179554390563566,0.702960712925216
380,StratifiedKFold,True,2,8,distance,euclidean,0.8184796854521625,0.7028093282013924
381,StratifiedKFold,True,2,8,distance,manhattan,0.8782874617737003,0.8233931755075014
382,StratifiedKFold,True,2,8,mma,euclidean,0.846352118829183,0.7240533861023337
383,StratifiedKFold,True,2,8,mma,manhattan,0.8225425950196592,0.7153446551333874
